StationId,StationName,Lat,Lon
241,כפר גלעדי,33.2404,35.5696
348,דפנה,33.2277,35.635
202,כפר בלום,33.1716,35.6133
10,מרום גולן פיכמן,33.1288,35.8045
106,ראש הנקרה,33.0806,35.1079
73,אילון,33.0653,35.2173
353,איילת השחר,33.0244,35.5735
343,שבי ציון,32.9836,35.0923
62,צפת הר כנען,32.98,35.507
269,חרשים,32.956,35.3287
123,עמיעד,32.915,35.5135
227,גמלא,32.9052,35.7487
205,אשחר,32.8844,35.3015
233,כפר נחום,32.8835,35.5792
6,בית ציידא,32.88,35.6504
99,דיר חנא,32.8621,35.3741
78,אפק,32.8466,35.1123
26,חיפה נמל,32.8283,34.9977
115,לב כנרת,32.8214,35.6053
2,אבני איתן,32.8174,35.7622
41,"חיפה בז""ן",32.8034,35.0548
43,חיפה טכניון,32.7736,35.0223
42,חיפה אוניברסיטה,32.7611,35.0208
186,נווה יער,32.7078,35.1784
13,תבור  כדורי,32.7053,35.4069
8,צמח,32.7024,35.5839
11,יבנאל,32.6978,35.5101
355,מסדה,32.6833,35.6008
44,עין כרמל,32.6808,34.9594
264,מרחביה,32.6028,35.3075
67,עין השופט,32.6028,35.0964
16,עפולה ניר העמק,32.596,35.2769
45,זכרון יעקב,32.5724,34.9546
263,גלעד,32.5564,35.0725
380,תל יוסף,32.5462,35.3945
224,מעלה גלבוע,32.481,35.415
46,חדרה נמל,32.4732,34.8815
206,חוות עדן,32.4679,35.4888
366,שדה אליהו,32.439,35.5106
107,עין החורש,32.3877,34.9376
20,קרני שומרון,32.1752,35.0959
90,איתמר,32.1598,35.3513
275,הכפר הירוק,32.13,34.8324
270,שערי תקוה,32.1257,35.0254
21,אריאל,32.1056,35.2114
178,תל אביב חוף,32.058,34.7588
54,בית דגן,32.0073,34.8138
30,גלגל,31.9973,35.4509
24,הר חרשה,31.9449,35.1499
124,אשדוד נמל,31.8342,34.6377
259,נחשון,31.8341,34.9616
74,קבוצת יבנה,31.8166,34.7244
228,בית הערבה,31.8052,35.501
121,חפץ חיים,31.791,34.805
188,צובה,31.7878,35.1258
23,ירושלים מרכז,31.7806,35.2217
218,מעלה אדומים,31.774,35.2961
22,ירושלים גבעת רם,31.7704,35.1973
274,ניצן,31.7319,34.6348
75,בית ג'ימל,31.7248,34.9762
25,"נתיב הל""ה",31.6898,34.9744
77,ראש צורים,31.6644,35.1233
82,נגבה,31.6585,34.6798
208,אשקלון נמל,31.6394,34.5215
236,גת,31.6303,34.7913
210,מצוקי דרגות,31.5881,35.3916
79,דורות,31.5036,34.648
211,עין גדי,31.42,35.3871
350,להב,31.3812,34.8729
28,שני,31.3568,35.0662
58,"בשור, חווה",31.2716,34.3894
59,באר שבע,31.2515,34.7995
29,ערד,31.25,35.1855
349,נבטים,31.205,34.9227
112,צומת הנגב,31.0708,34.8513
65,סדום,31.0306,35.3919
98,שדה בוקר,30.8702,34.795
338,עזוז,30.7911,34.4715
271,עבדת,30.7877,34.7712
33,חצבה,30.7787,35.2389
379,מצפה רמון,30.6101,34.8046
207,פארן,30.3655,35.1479
232,נאות סמדר,30.048,35.0233
36,יטבתה,29.8851,35.0771
64,אילת,29.5526,34.952
